Model year,Make,Model,Vehicle class,Engine size (L),Cylinders,Transmission,Fuel type,CO2 emissions (g/km),CO2 rating,Smog rating,fuel_efficiency_score,engine_displacement_per_cylinder,estimated_weight,power_to_weight_ratio,city_highway_diff,engine_efficiency,cylinder_efficiency
2017,Ford,Explorer FFV,Sport utility vehicle: Standard,3.5,6,AS6,E,264,4.0,5.0,6.211180124223602,0.5833333333333334,1050.0,0.0033333333333333335,5.799999999999999,75.42857142857143,44.0
2017,Ford,Explorer AWD,Sport utility vehicle: Standard,2.3,4,AS6,X,266,4.0,6.0,8.849557522123893,0.575,690.0,0.003333333333333333,3.9000000000000004,115.65217391304348,66.5
2017,Ford,Explorer AWD,Sport utility vehicle: Standard,3.5,6,AS6,X,305,3.0,6.0,7.6923076923076925,0.5833333333333334,1050.0,0.0033333333333333335,4.100000000000001,87.14285714285714,50.833333333333336
2017,Ford,Explorer FFV AWD,Sport utility vehicle: Standard,3.5,6,AS6,X,296,4.0,5.0,7.936507936507937,0.5833333333333334,1050.0,0.0033333333333333335,3.9000000000000004,84.57142857142857,49.333333333333336
2017,Ford,Explorer FFV AWD,Sport utility vehicle: Standard,3.5,6,AS6,E,284,4.0,5.0,5.813953488372094,0.5833333333333334,1050.0,0.0033333333333333335,5.400000000000002,81.14285714285714,47.333333333333336
2017,Ford,F-150,Pickup truck: Standard,2.7,6,AS6,X,256,5.0,6.0,9.174311926605505,0.45,1134.0,0.002380952380952381,2.8999999999999986,94.81481481481481,42.666666666666664
2017,Ford,F-150 (LT Tire Pkg),Pickup truck: Standard,2.7,6,AS6,X,263,4.0,6.0,8.928571428571429,0.45,1134.0,0.002380952380952381,2.5999999999999996,97.4074074074074,43.833333333333336
2017,Ford,F-150 (Payload Pkg),Pickup truck: Standard,2.7,6,AS6,X,272,4.0,6.0,8.620689655172415,0.45,1134.0,0.002380952380952381,3.299999999999999,100.74074074074073,45.333333333333336
2017,Ford,F-150,Pickup truck: Standard,3.5,6,AS10,X,264,4.0,5.0,8.849557522123893,0.5833333333333334,1470.0,0.002380952380952381,3.1999999999999993,75.42857142857143,44.0
2017,Ford,F-150 FFV,Pickup truck: Standard,3.5,6,A6,X,272,4.0,6.0,8.620689655172415,0.5833333333333334,1470.0,0.002380952380952381,3.5,77.71428571428571,45.333333333333336
2017,Ford,F-150 FFV,Pickup truck: Standard,3.5,6,A6,E,258,4.0,6.0,6.329113924050633,0.5833333333333334,1470.0,0.002380952380952381,4.699999999999999,73.71428571428571,43.0
2017,Ford,F-150 (LT Tire Pkg),Pickup truck: Standard,3.5,6,AS10,X,274,4.0,5.0,8.547008547008547,0.5833333333333334,1470.0,0.002380952380952381,2.8000000000000007,78.28571428571429,45.666666666666664
2017,Ford,F-150 (Payload Pkg),Pickup truck: Standard,3.5,6,AS10,X,290,4.0,5.0,8.064516129032258,0.5833333333333334,1470.0,0.002380952380952381,3.1000000000000014,82.85714285714286,48.333333333333336
2017,Ford,F-150 FFV,Pickup truck: Standard,5.0,8,AS6,X,310,3.0,6.0,7.575757575757576,0.625,2100.0,0.002380952380952381,4.800000000000001,62.0,38.75
2017,Ford,F-150 FFV,Pickup truck: Standard,5.0,8,AS6,E,291,4.0,6.0,5.649717514124294,0.625,2100.0,0.002380952380952381,6.199999999999999,58.2,36.375
2017,Ford,F-150 FFV (Payload Pkg),Pickup truck: Standard,5.0,8,AS6,E,291,4.0,6.0,5.649717514124294,0.625,2100.0,0.002380952380952381,6.199999999999999,58.2,36.375
2017,Ford,F-150 4X4,Pickup truck: Standard,2.7,6,AS6,X,276,4.0,6.0,8.47457627118644,0.45,1134.0,0.002380952380952381,2.9000000000000004,102.22222222222221,46.0
2017,Ford,F-150 4X4 (LT Tire Pkg),Pickup truck: Standard,2.7,6,AS6,X,293,4.0,6.0,8.0,0.45,1134.0,0.002380952380952381,2.3000000000000007,108.5185185185185,48.833333333333336
2017,Ford,F-150 4X4 (Payload Pkg),Pickup truck: Standard,2.7,6,AS6,X,288,4.0,6.0,8.130081300813007,0.45,1134.0,0.002380952380952381,2.6000000000000014,106.66666666666666,48.0
2017,Ford,F-150 4X4,Pickup truck: Standard,3.5,6,AS10,X,284,4.0,5.0,8.264462809917356,0.5833333333333334,1470.0,0.002380952380952381,3.299999999999999,81.14285714285714,47.333333333333336
2017,Ford,F-150 FFV 4X4,Pickup truck: Standard,3.5,6,A6,X,293,4.0,6.0,8.0,0.5833333333333334,1470.0,0.002380952380952381,3.4000000000000004,83.71428571428571,48.833333333333336
2017,Ford,F-150 FFV 4X4,Pickup truck: Standard,3.5,6,A6,E,281,4.0,6.0,5.91715976331361,0.5833333333333334,1470.0,0.002380952380952381,4.699999999999999,80.28571428571429,46.833333333333336
2017,Ford,F-150 4X4 (LT Tire Pkg),Pickup truck: Standard,3.5,6,AS10,X,288,4.0,5.0,8.130081300813007,0.5833333333333334,1470.0,0.002380952380952381,2.9000000000000004,82.28571428571429,48.0
2017,Ford,F-150 4X4 (Payload Pkg),Pickup truck: Standard,3.5,6,AS10,X,298,4.0,5.0,7.874015748031496,0.5833333333333334,1470.0,0.002380952380952381,3.0,85.14285714285714,49.666666666666664
2017,Ford,F-150 FFV 4X4,Pickup truck: Standard,5.0,8,AS6,X,323,3.0,6.0,7.246376811594202,0.625,2100.0,0.002380952380952381,4.6,64.6,40.375
2017,Ford,F-150 FFV 4X4,Pickup truck: Standard,5.0,8,AS6,E,305,3.0,6.0,5.376344086021505,0.625,2100.0,0.002380952380952381,6.4,61.0,38.125
2017,Ford,F-150 FFV 4X4 (LT Tire Pkg),Pickup truck: Standard,5.0,8,AS6,X,330,3.0,6.0,7.092198581560284,0.625,2100.0,0.002380952380952381,4.199999999999999,66.0,41.25
2017,Ford,F-150 FFV 4X4 (LT Tire Pkg),Pickup truck: Standard,5.0,8,AS6,E,306,3.0,6.0,5.376344086021505,0.625,2100.0,0.002380952380952381,6.4,61.2,38.25
2017,Ford,F-150 FFV 4X4 (Payload Pkg),Pickup truck: Standard,5.0,8,AS6,E,326,3.0,6.0,5.1020408163265305,0.625,2100.0,0.002380952380952381,5.699999999999999,65.2,40.75
2017,Ford,Flex,Sport utility vehicle: Standard,3.5,6,AS6,X,298,4.0,6.0,7.874015748031496,0.5833333333333334,1050.0,0.0033333333333333335,4.5,85.14285714285714,49.666666666666664
2017,Ford,Flex AWD,Sport utility vehicle: Standard,3.5,6,AS6,X,303,3.0,6.0,7.751937984496124,0.5833333333333334,1050.0,0.0033333333333333335,4.0,86.57142857142857,50.5
