Model year,Make,Model,Vehicle class,Engine size (L),Cylinders,Transmission,Fuel type,City (L/100 km),Highway (L/100 km),Combined (L/100 km),Combined (mpg),CO2 emissions (g/km),CO2 rating,Smog rating
2017,Buick,LaCrosse AWD,Mid-size,3.6,6,AS8,X,11.6,8.1,10.0,28,235,5.0,6.0
2017,Buick,Regal,Mid-size,2.0,4,AS6,Z,11.5,8.0,9.9,29,233,5.0,6.0
2017,Buick,Regal AWD,Mid-size,2.0,4,AS6,Z,12.1,8.9,10.7,26,250,5.0,6.0
2017,Buick,Verano,Compact,2.4,4,AS6,X,11.3,7.6,9.7,29,226,5.0,6.0
2017,Cadillac,ATS,Compact,2.0,4,AS8,Z,10.6,7.7,9.3,30,217,6.0,6.0
2017,Cadillac,ATS,Compact,2.0,4,M6,Z,11.8,8.0,10.1,28,236,5.0,6.0
2017,Cadillac,ATS,Compact,2.5,4,AS8,X,10.7,7.4,9.2,31,216,6.0,6.0
2017,Cadillac,ATS,Compact,3.6,6,AS8,X,11.6,8.0,10.0,28,234,5.0,6.0
2017,Cadillac,ATS AWD,Compact,2.0,4,AS8,Z,10.8,7.9,9.5,30,222,5.0,6.0
2017,Cadillac,ATS AWD,Compact,3.6,6,AS8,X,12.2,8.6,10.6,27,248,5.0,6.0
2017,Cadillac,ATS-V,Compact,3.6,6,AS8,Z,13.9,9.4,11.9,24,279,4.0,6.0
2017,Cadillac,ATS-V,Compact,3.6,6,M6,Z,14.4,10.4,12.6,22,295,4.0,6.0
2017,Cadillac,CT6,Full-size,2.0,4,AS8,Z,11.0,7.8,9.5,30,223,5.0,6.0
2017,Cadillac,CT6 AWD,Full-size,3.0,6,AS8,Z,13.0,9.1,11.2,25,263,4.0,6.0
2017,Cadillac,CT6 AWD,Full-size,3.6,6,AS8,X,12.8,8.8,11.0,26,259,4.0,6.0
2017,Cadillac,CTS,Mid-size,2.0,4,AS8,Z,11.0,7.8,9.5,30,223,5.0,6.0
2017,Cadillac,CTS,Mid-size,3.6,6,AS8,X,11.6,8.0,10.0,28,234,5.0,6.0
2017,Cadillac,CTS AWD,Mid-size,2.0,4,AS8,Z,11.2,8.2,9.8,29,229,5.0,6.0
2017,Cadillac,CTS AWD,Mid-size,3.6,6,AS8,X,12.2,8.6,10.6,27,248,5.0,6.0
2017,Cadillac,CTS Vsport,Mid-size,3.6,6,AS8,Z,15.0,9.9,12.7,22,299,3.0,6.0
2017,Cadillac,CTS-V,Mid-size,6.2,8,AS8,Z,16.5,11.1,14.0,20,329,3.0,5.0
2017,Cadillac,Escalade 4WD,Sport utility vehicle: Standard,6.2,8,A8,Z,16.1,11.7,14.1,20,331,3.0,5.0
2017,Cadillac,XT5,Sport utility vehicle: Small,3.6,6,AS8,X,12.1,8.6,10.5,27,245,5.0,5.0
2017,Cadillac,XT5 AWD,Sport utility vehicle: Small,3.6,6,AS8,X,12.9,8.9,11.1,25,260,4.0,5.0
2017,Cadillac,XTS,Full-size,3.6,6,AS6,X,13.2,8.5,11.1,25,260,4.0,6.0
2017,Cadillac,XTS AWD,Full-size,3.6,6,AS6,X,13.7,9.0,11.6,24,272,4.0,6.0
2017,Cadillac,XTS Vsport AWD,Full-size,3.6,6,AS6,Z,15.0,10.3,12.8,22,299,3.0,6.0
